Name,Cuisine,Coordinate
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.6091019, -79.6932543)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.8620552, -79.3041634)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.7995418, -79.5004169)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.8255357406, -79.5388208792)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.7390046485, -79.7020287373)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.6816885, -79.3322308)"
AAamazing Salad,Canadian;Vegetarian;Santé;Asiatique;Asian;Locally Sourced;Fait-maison;Gluten Friendly;Sensible au gluten;Canadien;Source locale;Végétarien;Healthy;Homemade,"(43.6550544597, -79.3997200847)"
ABC Euro Delicatessen,Sandwichs et sous-marins;Vegetarian;$10 Lunch;Santé;Desserts;Dessert;Fait-maison;Poulet;Végétarien;Chicken;Sandwiches & Subs;Healthy;Homemade;Diner 10$,"(43.7241833, -79.2928551)"
AG Macarons,Fait-maison;Café/Thé;Boulangerie/Pâtisserie;Gluten Friendly;Sensible au gluten;Bakery;Coffee/Tea;Européen;Desserts;European;Dessert;Homemade,"(43.6715437, -79.4210131)"
AG Macarons,Fait-maison;Café/Thé;Boulangerie/Pâtisserie;Gluten Friendly;Sensible au gluten;Bakery;Coffee/Tea;Européen;Desserts;European;Dessert;Homemade,"(43.6265079, -79.5010997)"
AL DEEWAN LEBANESE BAKERY,Pizza;Middle Eastern;Pitas;Vegetarian;Santé;Végétarien;Moyen-Oriental;Healthy;International,"(43.7646981, -79.280462)"
APM Dim Sum House,Vegetarian;Seafood;Noodle Shop;Asiatique;Asian;Fait-maison;Poulet;Nouilles;Fruits de mer;Chinese;Végétarien;Chicken;Chinois;Homemade;International,"(43.8502685, -79.3257394)"
AVSAR,Sandwichs et sous-marins;Vegetarian;Indian;Végétarien;Sandwiches & Subs;Indien;International,"(43.6375563, -79.634953)"
AXIA,Coréen;Vegetarian;Seafood;Korean;Sushis;Noodle Shop;Japanese;Asiatique;Asian;Japonais;Nouilles;Poulet;Fruits de mer;Végétarien;Chicken;Sushi;International,"(43.8268287338, -79.3067741841)"
Aanch,Mediterranean;Méditerranéen;Poulet;Vegetarian;Indian;Végétarien;Chicken;Indien;International,"(43.64482532650012, -79.39083937917144)"
Abubakr Halal Pizza & Chicken Wings,Pizza;Wings;Poulet;Canadian;Ailes;Canadien;Halal;Chicken,"(43.7524465, -79.2622936)"
Adam's Halal Pub,Café/Thé;Burgers;Smoothies;Desserts;Dessert;Wings;Poulet;Ailes;Halal;Chicken;Coffee/Tea;Hamburgers;Fusion;International,"(43.736551379667524, -79.30812233862304)"
Adam's Shawarma,Sandwichs et sous-marins;Seafood;Santé;Desserts;Dessert;Mediterranean;Méditerranéen;Poulet;Middle Eastern;Pitas;Fruits de mer;Halal;Chicken;Sandwiches & Subs;Moyen-Oriental;Healthy,"(43.6659195, -79.3804794)"
Adi Biriyani & Kabab House,Fait-maison;Poulet;Vegetarian;Indian;Végétarien;Chicken;Indien;Asiatique;Asian;Homemade,"(43.7072508, -79.2695536)"
Adrak Indian Restaurant & Bar,Haute Cuisine;Fait-maison;Vegetarian;Indian;Végétarien;Desserts;Indien;Dessert;Asiatique;Asian;Homemade,"(43.8444753, -79.3853036)"
