,Name,Address,Cusine
217,The Irv Gastro Pub,195 Carlton Street,Burgers; Gastropubs
218,Soma Chocolatemaker,32 Tank House Lane,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts
219,Chadwicks,268 Howland Avenue,Canadian (New); Comfort Food
220,Veggie DLight,160 Baldwin Street,Caribbean; Vegan; Gluten-Free
221,KINTON RAMEN,51 Baldwin Street,Ramen; Noodles
222,Dönerland,217 Roncesvalles Avenue,Mediterranean; Halal; Kebab
223,Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
226,Woodlot Restaurant,293 Palmerston Avenue,Vegetarian; Canadian (New); Comfort Food
227,Pizzeria Libretto,155 University Avenue,Pizza; Italian
228,Logas Corner,216C Close Avenue,Himalayan/Nepalese
229,Fresh On Bloor,326 Bloor Street W,Vegan; Salad; Soup
230,iHalo Krunch,831 Queen Street W,Ice Cream & Frozen Yogurt
231,Si Lom Thai Bistro,534 Church Street,Thai; Noodles; Seafood
232,Le Gourmand,152 Spadina Avenue,Coffee & Tea; Breakfast & Brunch; Cafes
233,Forno Cultura,609 King Street W,Bakeries; Coffee & Tea
234,Tacos El Asador,689 Bloor Street W,Mexican; Latin American
235,Koh Lipe Thai Kitchen,35 Baldwin Street,Thai
240,Crepe TO,52 Church Street,Creperies
241,Early Bird Coffee & Kitchen,613 Queen Street W,Coffee & Tea; Breakfast & Brunch
242,Raku,456 Queen St W,Japanese; Noodles
243,The Dirty Bird Chicken + Waffles,79 Kensington Avenue,Chicken Shop; Waffles; Burgers
244,Ottos Bierhalle,1087 Queen Street W,German
245,Le Baratin,1600 Dundas Street. W,French
246,Live Organic Food Bar,264 Dupont Street,Live/Raw Food; Organic Stores; Juice Bars & Smoothies
247,Kintako Japanese Restaurant,214 Laird Drive,Japanese
248,Rolltation,207 Dundas Street W,Sushi Bars; Salad; Poke
251,Zaad,348 Bloor Street West,Middle Eastern
253,Carisma,15 Toronto Street,Italian
254,The Caledonian,856 College Street,Pubs; Scottish; Whiskey Bars
255,California Sandwiches,244 Claremont Street,Sandwiches
256,Jules Bistro,147 Spadina Avenue,French
257,The Wren,1382 Danforth Avenue,Bars; American (Traditional)
258,Pukka,778 St. Clair Avenue W,Indian
259,Butter Avenue,477 Queen Street W,Desserts; Bakeries; Macarons
260,Oyster Boy,872 Queen Street W,Seafood
261,Jimmys Coffee,107 Portland Street,Coffee & Tea
262,The Hole In the Wall,2867 Dundas Street W,Pubs; Canadian (New)
267,Le Petit Déjeuner,191 King Street E,Breakfast & Brunch; Belgian
268,House of Gourmet,484 Dundas St W,Chinese
269,Tabule Restaurant,2009 Yonge Street,Middle Eastern; Vegan; Vegetarian
270,KINTON RAMEN,396 Church Street,Ramen; Noodles
271,Jimmys Coffee,191 Baldwin Street,Coffee & Tea
272,Toronto Island,Toronto Island,Parks; Beaches
273,COO Café Bread or Rice,1049 Bloor Street W,Japanese; French
274,FUEL+,471 Church Street,Coffee & Tea; Organic Stores; Juice Bars & Smoothies
275,Jimmys Coffee,84 Gerrard Street W,Coffee & Tea
276,Arctic Bites,21 Baldwin Street,Ice Cream & Frozen Yogurt
280,Kiin,326 Adelaide Street W,Thai
281,Athens Pastries,509 Danforth Avenue,Bakeries; Mediterranean
282,Voodoo Child,388 College Street,Coffee & Tea; Cocktail Bars
283,Bosk,Located in Shangri-La Hotel,Canadian (New)
284,Local Liberty Village,171 E Liberty Street,Sports Bars; Breakfast & Brunch
285,The Fish Store & Sandwiches,657 College Street,Sandwiches; Seafood
286,Tabülè Middle Eastern Cuisine,810 Queen Street E,Middle Eastern
287,Mangia & Bevi,260 King Street E,Italian; Pizza
288,Epicure City BOM,72 Gerrard Street W,Korean
289,Nodo Restaurant,2885 Dundas Street West,Italian
294,Quantum Coffee,460 King Street W,Coffee & Tea
