Cuisine,Coordinates
Diners; Delis; Sandwiches,"(43.2210363, -79.8490249333333)"
Salad; Juice Bars & Smoothies; Acai Bowls,"(43.6476216, -79.3918799)"
Pizza,"(43.6513409, -79.3970085)"
Breakfast & Brunch; Waffles; Belgian,"(43.65470702, -79.4019225)"
Coffee & Tea; Specialty Food,"(43.6497077, -79.4292366)"
Coffee & Tea; Venues & Event Spaces; Coffee Roasteries,"(43.6497558, -79.3591233)"
Chinese; Asian Fusion; Caribbean,"(43.6519848, -79.4081894)"
Coffee & Tea; Bakeries,"(43.6968529304348, -79.329309073913)"
Himalayan/Nepalese,"(43.6774003, -79.3514655)"
Italian; Breakfast & Brunch; Bars,"(43.6685152, -79.386693)"
Ice Cream & Frozen Yogurt; Coffee & Tea; Patisserie/Cake Shop,"(43.6600927, -79.4173757)"
Asian Fusion; Thai,"(43.6504059, -79.3891298)"
Greek; Mediterranean,"(45.39006725, -75.6854038748072)"
Mexican,"(43.6531440412509, -79.4065457169265)"
Mediterranean; Italian; Breakfast & Brunch,"(43.648449, -79.393414)"
Japanese,"(43.6798023, -79.3396832)"
Greek; Mediterranean,"(43.67810635, -79.3502382692308)"
Sandwiches,"(43.2610678, -79.884608)"
Coffee & Tea; Bakeries,"(43.6506783, -79.3691506)"
Seafood; Italian; Pizza,"(43.8452512623755, -79.5570956086677)"
Indian,"(43.6408104533333, -79.43629654)"
Pubs; German,"(43.6480949, -79.3901482)"
Italian; Pizza,"(45.40141345, -75.7187636454039)"
Burgers; American (Traditional); Beer Bar,"(43.6590065, -79.3833435)"
Breakfast & Brunch; Coffee & Tea,"(44.0205775, -77.7171112)"
Middle Eastern,"(43.6738788, -79.4117405417354)"
Pizza,"(43.6504006, -79.3980621)"
Chinese; Noodles; Fast Food,"(46.5331425, -84.3840401)"
Coffee & Tea,"(43.6506474, -79.396862)"
Pizza; Italian,"(43.6540786, -79.4132959)"
Italian; Seafood; Venues & Event Spaces,"(43.7101795483871, -79.3989329967742)"
Italian; Pizza,"(43.6462666, -79.4091549)"
Bars; American (Traditional),"(43.6588742, -79.3504058)"
Tiki Bars,"(43.6487476, -79.3963638)"
Coffee & Tea,"(43.66835, -79.382588)"
Bakeries; Desserts; Coffee & Tea,"(43.6562415, -79.4025734)"
Canadian (New); Wine Bars,"(43.6460701, -79.4101121)"
Specialty Food; Asian Fusion; Japanese,"(43.6006487, -79.6104486)"
Cafes,"(43.9526137, -78.302606)"
Vietnamese; Asian Fusion,"(43.7091373, -79.3986676)"
Tapas/Small Plates; Music Venues; Cocktail Bars,"(45.389128, -75.687639128253)"
Middle Eastern; Persian/Iranian,"(43.6567907, -79.4069206)"
Dim Sum,"(43.6546682, -79.3860966143021)"
Italian; Bars; Venues & Event Spaces,"(43.6488188, -79.3736883)"
Public Art,"(43.648104, -79.3988605)"
Pizza; Italian,"(43.6540595, -79.4019561)"
Ice Cream & Frozen Yogurt,"(43.6663836, -79.4040021)"
Sushi Bars; Korean; Japanese,"(43.659191, -79.3824692)"
Italian; Pizza,"(43.6636118, -79.3994882)"
Asian Fusion; Tapas Bars,"(43.6486209, -79.4203243)"
Coffee & Tea,"(43.6569851, -79.381012)"
Seafood,"(43.649213, -79.371735)"
Breakfast & Brunch; Comfort Food,"(43.6656161, -79.4719662)"
Breakfast & Brunch; Diners,"(43.6443841, -79.4184061)"
Cafes; Coffee & Tea,"(43.6483733, -79.3791523)"
Italian; Mediterranean,"(43.6463518, -79.3901402)"
Bakeries; Desserts,"(43.6710149, -79.3879678)"
Breakfast & Brunch,"(43.6415411, -79.3833149)"
Coffee & Tea; Sandwiches,"(43.6517827, -79.3653704)"
Italian; Bakeries; Sandwiches,"(43.6462928, -79.4090188)"
Tex-Mex; Burgers,"(43.6554176, -79.4134955)"
Street Vendors; Japanese,"(43.6517943, -79.4048971)"
Dim Sum; Asian Fusion,"(43.6473875, -79.3866475)"
Burgers; Sandwiches; Fast Food,"(43.6553057, -79.4026124)"
Chicken Shop; Southern,"(43.6652698, -79.4642439)"
Bars,"(43.6495092428571, -79.4311383428572)"
Burgers,"(43.6875909, -79.3941071)"
Middle Eastern; Salad; Soup,"(43.6536182, -79.3542344)"
Thai; Cambodian,"(43.679296, -79.4377691)"
Canadian (New); Lounges,"(43.7256596, -79.452229187644)"
Vietnamese,"(43.6557231966842, -79.413821129182)"
Parks,"(43.6463211, -79.4149311517555)"
Breakfast & Brunch; French,"(43.6690047, -79.3064618)"
Coffee & Tea; Cafes,"(43.6612327, -79.3384847)"
Sandwiches; Bakeries,"(43.649213, -79.371735)"
Canadian (New); Lounges,"(43.6467198, -79.3905334)"
Cocktail Bars; Comfort Food,"(43.659131, -79.3480803)"
Bagels,"(43.6554432, -79.40257)"
Seafood; Steakhouses; Cocktail Bars,"(43.6455702, -79.3859319)"
French; Seafood; Bistros,"(43.6490277, -79.4204846)"
