Name,Address,Cusine
Wafels & More,237 Augusta Avenue,Breakfast & Brunch; Waffles; Belgian
Kitten and the Bear,1414 Dundas Street W,Coffee & Tea; Specialty Food
Balzac’s Distillery District,1 Trinity Street,Coffee & Tea; Venues & Event Spaces; Coffee Roasteries
Patois Toronto,794 Dundas Street W,Chinese; Asian Fusion; Caribbean
Mon K Patisserie,1040 Coxwell Avenue,Coffee & Tea; Bakeries
Momo Hut & Gardens,401 Danforth Avenue,Himalayan/Nepalese
Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Dönerland,217 Roncesvalles Avenue,Mediterranean; Halal; Kebab
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
7 West Cafe,7 Charles Street W,Italian; Breakfast & Brunch; Bars
Bean and Baker Malt Shop,326 Harbord Street,Ice Cream & Frozen Yogurt; Coffee & Tea; Patisserie/Cake Shop
Queen Mother Cafe,208 Queen Street W,Asian Fusion; Thai
Mamakas Taverna,80 Ossington Avenue,Greek; Mediterranean
Good Hombres,374 Bathurst Street,Mexican
Ricarda’s Toronto,134 Peter St,Mediterranean; Italian; Breakfast & Brunch
Sakawa Coffee & Japanese Restaurant,867 Danforth Ave,Japanese
Mezes,456 Danforth Avenue,Greek; Mediterranean
Porchetta & Co,545 King Street W,Sandwiches
NEO COFFEE BAR,161 Frederick St,Coffee & Tea; Bakeries
Olive + Lemon,3604 Major MacKenzie Dr W,Seafood; Italian; Pizza
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Mother India,1456 Queen Street W,Indian
Town Crier Pub,115 John St,Pubs; German
Fusaro’s Kitchen,147 Spadina Avenue,Italian; Pizza
Duke’s Refresher + Bar,382 Yonge Street,Burgers; American (Traditional); Beer Bar
Our Spot,180 Baldwin Street,Breakfast & Brunch; Coffee & Tea
Fat Pasha,414 Dupont Street,Middle Eastern
Maker Pizza,59 Cameron Street,Pizza
Fudao noodle house,358 Spadina ave,Chinese; Noodles; Fast Food
Dark Horse Espresso,215 Spadina Avenue,Coffee & Tea
Bitondo’s Pizzeria,11 Clinton Street,Pizza; Italian
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
La Vecchia Ristorante,2405A Yonge Street,Italian; Seafood; Venues & Event Spaces
Terroni,720 Queen Street W,Italian; Pizza
Prohibition Gastrohouse - Queen,696 Queen Street E,Bars; American (Traditional)
The Shameful Tiki Room,1378 Queen W,Tiki Bars
Piedmont Coffee Bar,66 Isabella Street,Coffee & Tea
Wanda’s Pie In The Sky,287 Augusta Avenue,Bakeries; Desserts; Coffee & Tea
Canis,746 Queen Street W,Canadian (New); Wine Bars
Kevin’s Taiyaki,675 Bloor Street,Specialty Food; Asian Fusion; Japanese
Light Cafe,23 Baldwin Street,Cafes
Banh Mi Boys,2365 Yonge Street,Vietnamese; Asian Fusion
Dönerland,217 Roncesvalles Avenue,Mediterranean; Kebab; Halal
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Reposado Bar & Lounge,136 Ossington Avenue,Tapas/Small Plates; Music Venues; Cocktail Bars
Pomegranate Restaurant,420 College Street,Middle Eastern; Persian/Iranian
Lai Wah Heen,Located in DoubleTree by Hilton Hotel Toronto Downtown,Dim Sum
