Name,Cuisine,URL
Big Trouble Pizza - Annex,meat;foodora;exclusive;vegetarian;pizza,https://www.foodora.ca/restaurant/s4ox/big-trouble-pizza-annex
Bigman's Pizza,pasta;italian;pizza;sandwiches,https://www.foodora.ca/restaurant/s2qv/bigman-s-pizza
Bikkuri Japanese Restaurant - King,asian;japanese;sushi,https://www.foodora.ca/restaurant/s7xx/bikkuri-japanese-restaurant-king
Bikkuri Japanese Restaurant - Queen,japanese;sushi,https://www.foodora.ca/restaurant/s4fd/bikkuri-japanese-restaurant-queen
Bindia Indian Bistro,meat;soup;indian,https://www.foodora.ca/restaurant/s9ft/bindia-indian-bistro
Birdhouse Fried Chicken,fries;meat;fried;chicken;poutine;canadian,https://www.foodora.ca/restaurant/s3xx/birdhouse-fried-chicken
Bismillah Halal Express,curry;meat;dessert;vegetarian;indian,https://www.foodora.ca/restaurant/s2iy/bismillah-halal-express
Bistro In a Box,halal;home;made;fingerfood;meat;salad,https://www.foodora.ca/restaurant/s1el/bistro-in-a-box
Biwon Restaurant,dumplings;soup;asian;korean,https://www.foodora.ca/restaurant/s7kg/nak-won
Blackjack BBQ - Square One,fingerfood;fish;meat;bbq;seafood;american,https://www.foodora.ca/restaurant/s9ia/blackjack-bbq-square-one
Blondies Pizza - Commerce Court,meat;italian;pizza,https://www.foodora.ca/restaurant/s9kh/blondie-s-pizza-commerce-court
Blondies Pizza - Dundas St E,meat;italian;pizza,https://www.foodora.ca/restaurant/s4sp/blondie-s-pizza-dundas-st-e
Blondies Pizza - Ossington Ave,meat;italian;pizza,https://www.foodora.ca/restaurant/s1gr/blondie-s-pizza-ossington-ave
Blooming Orchid,dumplings;fish;meat;salad;juice-smoothie,https://www.foodora.ca/restaurant/s0in/blooming-orchid
Bodega,home;made;taco;wrap-burritos;caribbean,https://www.foodora.ca/restaurant/g7no/bodega
Boku Noodle Bar,meat;noodles;korean,https://www.foodora.ca/restaurant/s7rt/boku-noodle-bar
Bolet's Burrito,spicy;wrap-burritos;mexican;sandwiches,https://www.foodora.ca/restaurant/s6he/bolet-s-burrito
Bombay Palace,spicy;curry;indian,https://www.foodora.ca/restaurant/s7gy/bombay-palace
Bombay Roti,spicy;curry;meat;vegetarian;indian,https://www.foodora.ca/restaurant/s4kf/bombay-roti
Bombay Tiffin by Miya Bhai,halal;home;made;vegan;spicy;curry;wrap-burritos,https://www.foodora.ca/restaurant/s5pc/miya-bhai
Bombay on the Lake,halal;home;made;vegan;curry;vegetarian,https://www.foodora.ca/restaurant/s5cu/bombay-on-the-lake
Bone Soup Malatang,spicy;fish;soup;noodles;asian;seafood;vegetarian,https://www.foodora.ca/restaurant/s8ii/bone-soup-malatang
Boneyard Grill St. Clair West,fries;meat;salad;poutine;burgers;sandwiches,https://www.foodora.ca/restaurant/s5bi/boneyard-grill-st-clair-west
Booster Juice - Queen Street,meat;juice-smoothie;wrap-burritos;sandwiches,https://www.foodora.ca/restaurant/s8ev/booster-juice-queen-street
Boston Pizza - The Queensway,gluten;free;meat;pasta;canadian;pizza,https://www.foodora.ca/restaurant/s1hf/boston-pizza-the-queensway
