Name,Cuisine,Coordinate
Dagu Rice Noodle - Mississauga,noodles;asian,"(43.567125, -79.659704)"
Dai Bi Chay,meat;salad;juice-smoothie;soup;noodles,"(43.590948, -79.594049)"
Daily Press Juicery,juice-smoothie;healthy;food,"(43.650578, -79.388954)"
Dainties Macaron,dessert;bakery & cafe,"(43.651411, -79.397111)"
Dakgogi,meat;fried;chicken;korean,"(43.664855, -79.383116)"
Dal Moro's Fresh Pasta To Go - Square One,meat;pasta;italian,"(43.592692, -79.642019)"
Dal Moro's Fresh Pasta To Go - Yonge & Eglinton,vegan;meat;pasta;italian,"(43.707248, -79.399603)"
Dal Moro’s Fresh Pasta To Go - Yonge,meat;pasta;italian,"(43.666801, -79.385163)"
Danforth Dragon,dumplings;fingerfood;fish;meat;chinese,"(43.679935, -79.339928)"
Darbar Persian Grill,meat;salad;soup;middle;eastern,"(43.735504, -79.419647)"
Darvish Delivery,spicy;kebab;meat;mediterranean;middle;eastern,"(43.663445, -79.383965)"
Dasoni,dumplings;meat;soup;korean,"(43.682344, -79.423885)"
Death in Venice Gelato West,vegan;ice;cream;bakery & cafe;italian,"(43.649754, -79.429262)"
Dee - Thai Cuisine,meat;salad;soup;noodles;seafood;thai,"(43.701065, -79.396999)"
Delhi Bistro,curry;fish;meat;salad;soup;dessert;seafood,"(43.672605, -79.288478)"
